Clause/Provision Number,Title,Date,Prescribed In,Provision or Clause,UCF,IBR or FT,Fill In,Mod or Sub,App Dev,Supply FP,Supply CR,R&D FP,R&D CR,Service FP,Service CR,Construction FP,Construction CR,Time & Material/ Labor Hour,Archetecture & Engineering,Idefinite Delivery,Transportation,Simplified Acquisition Procedures,Commercial Items
1852.219-80,Limitation on Subcontracting -- SBIR Phase I Program,(OCT 2026),1819.7302(a),C,I,IBR,,,PCD 026-35,A,A,A,A,A,A,A,A,A,,A,A,A,
1852.219-81,Limitation on Subcontracting -- SBIR Phase II Program,(OCT 2006),1819.7302(b),C,I,IBR,,,PCD 006-35,A,A,A,A,A,A,A,A,A,,A,A,A,
1852.219-82,Limitation on Subcontracting STTR Program,(OCT 2006),1819.7302(c ),C,I,IBR,,,PCD 006-35,A,A,A,A,A,A,A,A,A,,A,A,A,
1852.219-83,Limitation of the Principal Investigator - SBIR Program,(OCT 2006),1819.7302(d),C,I,FT,X,,PCD 006-35,A,A,A,A,A,A,A,A,A,,A,A,A,
1852.219-84,Limitation of the Principal Investigator - STTR Program,(OCT 2006),1819.7302(e ),C,I,FT,X,,PCD 006-35,A,A,A,A,A,A,A,A,A,,A,A,A,
1852.219-85,Conditions for Final Payment -SBIR and STTR Contracts,(OCT 2006),1819.7302(f),C,I,FT,X,,PCD 006-35,A,A,A,A,A,A,A,A,A,,A,A,A,
1852.225-8,Duty-Free Entry of Space Articles,FEB 2000,1825.904,C,I,FT,X,,PCD 00-35,A,A,A,A,A,A,A,,A,,A,A,A,
1852.225-70,Export Licenses,DEC 2025 (DEVIATION),1825.603-70(b),C,H,FT,X,,PCD 25-54,A,A,A,A,A,A,A,A,A,,A,A,A,A
1852.225-71,Restriction on Funding Activity with China,DEC 2025 (DEVIATION),1825.7001-70(a),C,I,FT,,,PCD 25-54,R,R,R,R,R,R,R,R,R,R,R,R,R,
1852.225-72,Restriction on Funding Activity with China - Representation,DEC 2025 (DEVIATION),1825.7001-70(b),P,K,FT,,,PCD 25-55,R,R,R,R,R,R,R,R,R,R,R,R,R,
1852.225-73,Travel Outside of the United States,2026-02-01,1825.7101(a),C,G,IBR,,,PCD 26-54A,,,,A,,A,,A,A,,A,A,,
1852.225-74,Emergency Medical Services and Evacuation,2026-02-01,1825.7101 (b),C,H,IBR,,,PCD 26-54A,A,A,A,A,A,A,A,A,A,,A,A,A,
1852.226-70,Drug-and Alchohol-Free Workplace,2026-02-01,1826.570-2,C,I,IBR,,,PCD 26-17A,A,A,,A,A,A,A,A,A,A,A,A,,
1852.226-71,Safety and Health Measures and Mishap Reporting,2026-02-01,1826.7001 (a),C,H,IBR,,,PCD 26-17A,,A,A,A,A,A,A,A,A,A,A,A,A,A
1852.226-72,Safety and Health Plan,2026-02-01,1826.7001 (c),P,L,IBR,,,PCD 26-17A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1852.226-73,Major Breach of Safety,2026-02-01,1826.7001 (e)(1),C,H,IBR,,,PCD 26-17A,A,A,A,A,A,A,A,A,A,,A,A,A,
1852.226-74,Safety and Health (Short Form),2026-02-01,1826.7001 (f),C,H,IBR,,,PCD 26-17A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1852.227-11,Patent Rights -- Ownership by the Contractor,JAN 2026 (DEVIATION),1827.303(b)(1),C,I,IBR,,,PCD 26-02,,,A,A,A,A,A,A,A,,A,,A,
1852.227-14,Rights in Data -- General,JUN 2026 (DEVIATION),1827.409(b)(1),C,I,IBR,,,PCD 26-02A,A,A,A,A,A,A,,,A,,A,A,A,
1852.227-70,New Technology - Other than a Small Business Firm or Nonprofit Organization,JUN 2026 (DEVIATION),1827.303(d)(1),C,G,IBR,,,PCD 26-02A,,,A,A,A,A,A,A,A,,,,A,
1852.227-71,Request for Waiver of Rights to Inventions,JAN 2026 (DEVIATION),1827.303(d)(2),P,L,IBR,,,PCD 26-02,,,A,A,A,A,A,A,A,,,,A,
1852.227-72,Designation of New Technology Representative and Patent Representative,JUN 2026 (DEVIATION),1827.303(d)(3),C,G,IBR,,,PCD 26-02A,,,A,A,A,A,A,A,A,,,,A,
1852.227-84,Patent Rights Clauses,APR 2015,1827.303(a)(1),P,L,IBR,,,,,,A,A,A,A,A,A,A,,,,A,
1852.227-85,Invention Reporting and Rights -- Foreign,JUN 2026 (DEVIATION),1827.303(e )(1),C,G,IBR,,,PCD 26-02A,,,,A,A,A,A,A,A,,,,A,
1852.227-86,Commercial Computer Software,JUN 2026 (DEVIATION),1827.409(g),C,G,IBR,,,PCD 26-02A,A,A,A,A,A,A,A,A,A,,A,,A,
1852.227-88,Government-furnished computter software and related technical data,APR 2015,1827.409(j),C,I,IBR,,,PCD 26-01,A,A,A,A,A,A,A,A,A,A,A,A,A,A
1852.228-70,Aircraft Ground and Flight Risk,SEP 2025 (DEVIATION),1828.370(a),C,H,IBR,X,,PCD 25-29,,A,,A,,A,,,A,,A,A,A,
1852.228-71,Aircraft Flight Risks,SEP 2025 (DEVIATION),1828.311-270(a),C,H,IBR,,,PCD 25-29,,A,,A,,A,,,A,,A,A,A,
1852.228-75,Minimum Insurance Coverage,SEP 2025 (DEVIATION),1828.372,C,I,IBR,,X,PCD 25-29,O,O,O,O,O,O,O,O,O,,O,O,O,
1852.228-76,Cross-Waiver of Liability for International Space Station Activities,SEP 2025 (DEVIATION),1828.370(c ),C,H,IBR,,,PCD 25-29,A,A,A,A,A,A,A,A,A,,A,A,A,A
1852.228-78,Cross-Waiver of Liability for Science or Space Exploration Activities Unrelated to the International Space Station,SEP 2025 (DEVIATION),1828.370(b),C,H,IBR,,,PCD 25-29,A,A,A,A,A,A,A,A,A,,A,A,A,A
1852.228-80,Insurance - Immunity from Tort Liability,SEP 2025 (DEVIATION),1828.311-270(b),P,L,IBR,,,PCD 25-29,,,,R,,,,,,,,,,
1852.228-81,Insurance - Partial Immunity from Tort Liability,SEP 2025 (DEVIATION),1828.311-270(c ),C,I,IBR,,,PCD 25-29,,,,A,,,,,,,,,,
1852.228-82,Insurance - Total Immunity from Tort Liability,SEP 2025 (DEVIATION),1828.311-270(d),C,I,IBR,,,PCD 25-29,,,,A,,,,,,,,,,
1852.231-70,Precontract Costs,AUG 2025 (DEVIATION),,C,I,FT,X,,PCD 25-12,,A,,A,,A,,A,A,,A,A,A,
1852.232-70,NASA Modification of FAR 52.232-12,APR 2015,1832.412-70,C,I,FT,,,PCD 15-35,A,A,A,A,A,A,A,A,A,,A,A,A,
1852.232-77,Limitation of Funds (Fixed Price Contract),MAR 1989,1832.707-270 (a),C,H,FT,X,X,PCD 89-35,A,,A,,A,,A,,,,,,,
1852.232-79,Payment for On-Site Preparatory Costs,SEP1987,1832.111-70,C,I,IBR,,,PCD 7-35,,,,,,,A,,,,,,,
1852.232-80,Submission of Vouchers for Payment,ARP 2018,1832.908-70,C,G,FT,,,PCD 18-35,R,R,R,R,R,R,R,R,R,R,A,R,A,
1852.232-81,Contract Funding,JUN 1990,1832.707-270( b),C,B,FT,X,X,PCD 90-35,,A,,A,,A,,A,,,A,,,
